date;species;X;Y;n
2005-05-25;Merlangius merlangus;58396.865622548445;438639.68657882843;21
2005-05-25;Merlangius merlangus;58819.82519604184;430823.9278589082;18
2005-05-25;Merlangius merlangus;63963.78002969679;430152.4668323236;1
2005-05-26;Merlangius merlangus;15160.086925386335;405249.6936858297;17
2005-05-26;Merlangius merlangus;15197.903535013087;407436.973634156;11
2005-05-26;Merlangius merlangus;16670.61400526995;408102.01911501883;9
2005-05-26;Merlangius merlangus;20445.43917829002;407276.30585119827;8
2005-05-26;Merlangius merlangus;21739.822508921905;406017.56882260967;17
2005-05-26;Merlangius merlangus;31615.44308256323;421236.47494744346;1
2005-05-26;Merlangius merlangus;33873.969682529045;423741.30400308454;4
2005-05-26;Merlangius merlangus;36690.05579502259;426084.7630896949;8
2005-05-26;Merlangius merlangus;38151.059635702375;428091.6442054555;17
2005-05-26;Merlangius merlangus;40355.413662516235;428986.7259660619;5
2005-05-26;Merlangius merlangus;55760.711264777114;440454.09395047533;14
2005-05-26;Merlangius merlangus;56963.26376750348;433381.61077251064;4
2005-05-26;Merlangius merlangus;57382.981374146824;441924.47149811854;13
2005-05-26;Merlangius merlangus;58125.3723570601;438830.78548657824;6
2005-05-26;Merlangius merlangus;58914.116922748435;441708.9311456519;3
2005-05-26;Merlangius merlangus;59266.91925008524;440385.67189750867;9
2005-05-26;Merlangius merlangus;59603.9334867462;440026.4572854672;3
2005-05-26;Merlangius merlangus;59750.217280744095;441673.9958409977;3
2005-05-27;Merlangius merlangus;53320.65237517579;435996.06204565766;4
2005-05-27;Merlangius merlangus;53749.81874966626;441885.5296735169;8
2005-05-27;Merlangius merlangus;55212.42456152213;429020.4822693478;9
2005-05-27;Merlangius merlangus;55397.4540315972;444652.3504732244;4
2005-05-27;Merlangius merlangus;56758.149579954785;443364.51333770016;18
2005-05-27;Merlangius merlangus;59238.86352581058;439495.94299855595;2
2005-05-30;Merlangius merlangus;47706.14585553414;435296.4957373608;9
2005-05-30;Merlangius merlangus;49949.30921363043;437196.4281872631;4
2005-05-30;Merlangius merlangus;51789.91314415168;433003.7542100753;5
2005-05-30;Merlangius merlangus;59709.537441085165;434738.5141847181;3
2005-05-31;Merlangius merlangus;35872.33817804218;424564.9034230731;1
2005-05-31;Merlangius merlangus;36159.90485852356;426041.651923617;2
2005-05-31;Merlangius merlangus;36345.86730962874;422235.4024627799;1
2005-05-31;Merlangius merlangus;37772.43071391937;425168.98615313374;5
2005-05-31;Merlangius merlangus;42308.05645094975;424360.552756046;11
2005-05-31;Merlangius merlangus;45553.37503840159;423918.10718785913;5
2005-05-31;Merlangius merlangus;45653.47947388199;426419.93325397104;6
2005-05-31;Merlangius merlangus;65313.13745379675;444502.12269743317;1
2005-06-01;Merlangius merlangus;16074.26574109422;407394.9257965515;2
2005-06-01;Merlangius merlangus;21526.749193473894;412793.8350704359;3
2005-06-01;Merlangius merlangus;22535.11711452916;414306.5200283095;1
2005-06-03;Merlangius merlangus;26532.644799506932;405632.69805883034;8
2005-06-03;Merlangius merlangus;26784.811120011276;409633.0768770672;1
2005-06-03;Merlangius merlangus;28060.327691891172;407152.1826977388;9
2005-06-03;Merlangius merlangus;34130.06057620635;408042.43127163773;2
2005-06-03;Merlangius merlangus;35675.13581200063;406539.86159850116;1
2005-06-07;Merlangius merlangus;65313.13745379675;444502.12269743317;1
2005-06-14;Merlangius merlangus;65313.13745379675;444502.12269743317;1
2005-06-27;Merlangius merlangus;63963.78002969679;430152.4668323236;1
2005-07-06;Merlangius merlangus;63963.78002969679;430152.4668323236;1
2005-07-06;Merlangius merlangus;64019.28359459559;430021.2615503005;1
2005-08-29;Merlangius merlangus;51457.35956671473;433010.6226415535;2
2005-08-29;Merlangius merlangus;55141.156615186526;435810.2599773082;1
2005-08-29;Merlangius merlangus;56010.4227378799;433956.7876233875;1
2005-08-29;Merlangius merlangus;57345.25316601139;444669.4947970958;1
2005-08-29;Merlangius merlangus;58146.98887853185;438774.7246337907;5
2005-08-29;Merlangius merlangus;58319.28416431663;438790.30683741183;1
2005-08-29;Merlangius merlangus;58523.59120371427;442848.219514868;10
2005-08-29;Merlangius merlangus;59192.793156577914;439496.8261313579;7
2005-08-29;Merlangius merlangus;59607.441866215115;441398.5126434767;1
2005-08-30;Merlangius merlangus;51507.60675031795;432675.723205081;2
2005-08-30;Merlangius merlangus;53703.00289553082;441848.64161597635;2
2005-08-30;Merlangius merlangus;54577.83969411769;435765.8959119003;2
2005-08-30;Merlangius merlangus;55174.698261648446;439798.0559295535;1
2005-08-30;Merlangius merlangus;55410.61902486469;444726.6494830888;5
2005-08-30;Merlangius merlangus;57822.999820316574;443936.81706809317;22
2005-08-30;Merlangius merlangus;58879.75126612467;441709.592483744;1
2005-08-31;Merlangius merlangus;16760.60203704462;408024.97293602506;1
2005-08-31;Merlangius merlangus;47604.35385850079;439082.53176863404;12
2005-08-31;Merlangius merlangus;48782.60642784544;437871.00628714426;7
2005-08-31;Merlangius merlangus;52804.47468590604;432630.1599321462;5
2005-08-31;Merlangius merlangus;52848.40482532377;433668.67442785227;5
2005-08-31;Merlangius merlangus;57464.73208859883;430238.0794464497;8
2005-09-01;Merlangius merlangus;17323.88306627827;408769.7768682652;1
2005-09-05;Merlangius merlangus;20398.31925790658;411989.1047076207;34
2005-09-06;Merlangius merlangus;34914.88652037733;423975.603139114;2
2005-09-06;Merlangius merlangus;36151.379137212134;427137.0037896281;2
2005-09-06;Merlangius merlangus;36309.15729908073;422142.7825872734;2
2005-09-06;Merlangius merlangus;38350.94245521171;422837.2466504363;2
2005-09-07;Merlangius merlangus;16120.954237824772;407430.3704302205;9
2005-09-07;Merlangius merlangus;20009.338788414054;402185.76106497383;1
2007-05-15;Merlangius merlangus;50284.999128880896;437319.5933570482;2
2007-05-15;Merlangius merlangus;53335.457090004085;435030.91107230796;31
2007-05-15;Merlangius merlangus;53412.91586664821;436030.9115456015;14
2007-05-15;Merlangius merlangus;54648.70951271494;434150.8381250456;6
2007-05-15;Merlangius merlangus;55046.549525780996;433382.8000158067;13
2007-05-16;Merlangius merlangus;56493.528291679206;442145.590051088;11
2007-05-16;Merlangius merlangus;57308.45055221877;439272.90634270926;15
2007-05-16;Merlangius merlangus;58138.090045077086;443634.67519898526;39
2007-05-24;Merlangius merlangus;52022.80933484915;433108.0179635579;7
2007-05-24;Merlangius merlangus;55108.35599894695;439335.32086302934;12
2007-05-24;Merlangius merlangus;55289.59238937039;442692.530046198;4
2007-05-24;Merlangius merlangus;56664.95759970324;437509.4266423348;5
2007-05-24;Merlangius merlangus;56973.26326335399;445567.07167654263;4
2007-05-24;Merlangius merlangus;56998.00306443064;439368.0127696187;5
2007-05-24;Merlangius merlangus;57048.93401610294;436700.64300074504;3
2007-05-24;Merlangius merlangus;58921.13081188493;440393.42320282693;5
2007-05-24;Merlangius merlangus;60122.1002542276;441524.47437278024;4
2007-05-25;Merlangius merlangus;47019.06584888241;438104.6603527651;5
2007-05-25;Merlangius merlangus;50347.5256203989;439056.6061615561;9
2007-05-25;Merlangius merlangus;52689.41571238858;432629.17168256507;8
2007-05-25;Merlangius merlangus;53323.7117580653;429839.6759263561;6
2007-05-25;Merlangius merlangus;53698.47821731024;430989.4483919718;4
2007-05-25;Merlangius merlangus;55118.18321841417;428926.655739659;6
2007-05-25;Merlangius merlangus;56122.277936193714;429541.0567829303;6
2007-05-25;Merlangius merlangus;57810.23996016836;430357.11294411845;6
2007-05-30;Merlangius merlangus;35917.329780445114;424541.5760416037;7
2007-05-30;Merlangius merlangus;36215.03326382935;426068.1695889495;4
2007-05-30;Merlangius merlangus;36252.160374639294;422360.0430817357;10
2007-05-30;Merlangius merlangus;36965.51027521545;421957.024686947;9
2007-05-30;Merlangius merlangus;37794.758096524485;425179.5937850139;7
2007-05-31;Merlangius merlangus;17113.140417496732;408532.89125083474;24
2007-05-31;Merlangius merlangus;19156.27004620232;406983.6566406578;22
2007-05-31;Merlangius merlangus;19224.4960511307;405222.0781960414;15
2007-05-31;Merlangius merlangus;19918.836207899352;402249.4006633874;10
2007-05-31;Merlangius merlangus;21731.061536995025;412880.8022084622;2
2007-05-31;Merlangius merlangus;22756.394561801513;414384.17512061034;2
2007-05-31;Merlangius merlangus;23169.410390603356;414442.3409264075;6
2007-05-31;Merlangius merlangus;26646.68711188175;409781.28586618725;8
2007-06-01;Merlangius merlangus;25268.735118921046;410353.0695172082;1
2007-06-01;Merlangius merlangus;25291.705104689478;406620.5497267982;8
