FID;date;species;n;X;Y
323;27-5-2013 0:00:00;Clupea harengus;1;19191.200000000001000;406994.000000000000000
324;27-5-2013 0:00:00;Clupea harengus;1;22210.400000000001000;413351.000000000000000
325;28-5-2013 0:00:00;Clupea harengus;10;19907.400000000001000;402263.000000000000000
326;28-5-2013 0:00:00;Clupea harengus;1;26772.599999999999000;402807.000000000000000
327;14-8-2013 0:00:00;Clupea harengus;2;49116.699999999997000;436879.000000000000000
328;14-8-2013 0:00:00;Clupea harengus;3;49649.099999999999000;438234.000000000000000
329;14-8-2013 0:00:00;Clupea harengus;5;55028.199999999997000;433397.000000000000000
330;14-8-2013 0:00:00;Clupea harengus;6;56949.000000000000000;433359.000000000000000
331;14-8-2013 0:00:00;Clupea harengus;22;57912.300000000003000;430216.000000000000000
332;15-8-2013 0:00:00;Clupea harengus;10;51078.699999999997000;432292.000000000000000
333;15-8-2013 0:00:00;Clupea harengus;8;51837.699999999997000;431681.000000000000000
334;15-8-2013 0:00:00;Clupea harengus;1;53315.800000000003000;435994.000000000000000
335;15-8-2013 0:00:00;Clupea harengus;3;54554.599999999999000;435910.000000000000000
336;15-8-2013 0:00:00;Clupea harengus;8;56244.400000000001000;435379.000000000000000
337;15-8-2013 0:00:00;Clupea harengus;4;57188.099999999999000;430013.000000000000000
338;15-8-2013 0:00:00;Clupea harengus;10;61022.099999999999000;435267.000000000000000
339;16-8-2013 0:00:00;Clupea harengus;1;37843.400000000001000;422801.000000000000000
340;16-8-2013 0:00:00;Clupea harengus;2;46066.199999999997000;426717.000000000000000
341;16-8-2013 0:00:00;Clupea harengus;10;54371.300000000003000;430350.000000000000000
342;16-8-2013 0:00:00;Clupea harengus;10;55139.000000000000000;428935.000000000000000
343;19-8-2013 0:00:00;Clupea harengus;3;35225.699999999997000;425805.000000000000000
344;19-8-2013 0:00:00;Clupea harengus;1;36255.300000000003000;422377.000000000000000
345;19-8-2013 0:00:00;Clupea harengus;2;36978.300000000003000;424322.000000000000000
346;19-8-2013 0:00:00;Clupea harengus;11;53697.199999999997000;430346.000000000000000
347;20-8-2013 0:00:00;Clupea harengus;1;16419.900000000001000;407723.000000000000000
348;20-8-2013 0:00:00;Clupea harengus;7;19246.400000000001000;405264.000000000000000
349;20-8-2013 0:00:00;Clupea harengus;1;27838.400000000001000;402825.000000000000000
350;20-8-2013 0:00:00;Clupea harengus;4;34268.099999999999000;407358.000000000000000
351;20-8-2013 0:00:00;Clupea harengus;4;36253.000000000000000;408285.000000000000000
352;21-8-2013 0:00:00;Clupea harengus;14;18134.700000000001000;406220.000000000000000
353;21-8-2013 0:00:00;Clupea harengus;4;19962.799999999999000;402259.000000000000000
354;21-8-2013 0:00:00;Clupea harengus;2;21215.700000000001000;412023.000000000000000
355;21-8-2013 0:00:00;Clupea harengus;3;22737.400000000001000;414374.000000000000000
356;21-8-2013 0:00:00;Clupea harengus;5;24016.700000000001000;415322.000000000000000
357;21-8-2013 0:00:00;Clupea harengus;2;26200.599999999999000;410958.000000000000000
358;22-8-2013 0:00:00;Clupea harengus;8;16876.200000000001000;406455.000000000000000
359;22-8-2013 0:00:00;Clupea harengus;5;26192.400000000001000;405818.000000000000000
360;22-8-2013 0:00:00;Clupea harengus;3;26454.500000000000000;410657.000000000000000
361;22-8-2013 0:00:00;Clupea harengus;3;26645.599999999999000;409795.000000000000000
362;22-8-2013 0:00:00;Clupea harengus;8;27424.099999999999000;408309.000000000000000
363;12-10-2015 0:00:00;Clupea harengus;1;47001.599999999999000;437742.000000000000000
364;12-10-2015 0:00:00;Clupea harengus;1;49802.000000000000000;436180.000000000000000
365;12-10-2015 0:00:00;Clupea harengus;5;54073.500000000000000;434070.000000000000000
366;12-10-2015 0:00:00;Clupea harengus;6;54258.000000000000000;430135.000000000000000
367;13-10-2015 0:00:00;Clupea harengus;4;45892.199999999997000;427342.000000000000000
368;14-10-2015 0:00:00;Clupea harengus;3;22484.299999999999000;411062.000000000000000
369;14-10-2015 0:00:00;Clupea harengus;8;24689.000000000000000;404419.000000000000000
370;14-10-2015 0:00:00;Clupea harengus;5;33865.300000000003000;406157.000000000000000
371;15-10-2015 0:00:00;Clupea harengus;2;27511.000000000000000;415532.000000000000000
372;15-10-2015 0:00:00;Clupea harengus;6;34974.900000000001000;422157.000000000000000
373;15-10-2015 0:00:00;Clupea harengus;7;35493.400000000001000;420734.000000000000000
374;15-10-2015 0:00:00;Clupea harengus;1;49012.199999999997000;428685.000000000000000
375;19-10-2015 0:00:00;Clupea harengus;3;56317.199999999997000;439033.000000000000000
376;20-10-2015 0:00:00;Clupea harengus;8;14206.100000000000000;396278.000000000000000
377;20-10-2015 0:00:00;Clupea harengus;2;17744.200000000001000;394085.000000000000000
378;26-9-2016 0:00:00;Clupea harengus;9;46117.199999999997000;427634.000000000000000
379;26-9-2016 0:00:00;Clupea harengus;7;54237.199999999997000;434234.000000000000000
380;27-9-2016 0:00:00;Clupea harengus;7;14040.200000000001000;396154.000000000000000
381;27-9-2016 0:00:00;Clupea harengus;9;18754.000000000000000;392054.000000000000000
382;27-9-2016 0:00:00;Clupea harengus;5;27703.200000000001000;403043.000000000000000
383;3-10-2016 0:00:00;Clupea harengus;2;55375.400000000001000;439516.000000000000000
384;4-10-2016 0:00:00;Clupea harengus;1;11608.600000000000000;398114.000000000000000
385;4-10-2016 0:00:00;Clupea harengus;2;24696.799999999999000;406515.000000000000000
386;4-10-2016 0:00:00;Clupea harengus;8;29902.500000000000000;413450.000000000000000
387;4-10-2016 0:00:00;Clupea harengus;4;39975.000000000000000;419424.000000000000000
388;5-10-2016 0:00:00;Clupea harengus;9;35199.400000000001000;420482.000000000000000
389;6-10-2016 0:00:00;Clupea harengus;6;50229.699999999997000;429216.000000000000000
390;6-10-2016 0:00:00;Clupea harengus;1;50693.500000000000000;437107.000000000000000
391;6-10-2016 0:00:00;Clupea harengus;6;53734.099999999999000;430368.000000000000000
392;31-10-2017 0:00:00;Clupea harengus;6;14791.600000000000000;396967.000000000000000
393;31-10-2017 0:00:00;Clupea harengus;1;24711.299999999999000;405735.000000000000000
394;1-11-2017 0:00:00;Clupea harengus;4;27475.700000000001000;415942.000000000000000
395;1-11-2017 0:00:00;Clupea harengus;6;30896.500000000000000;412164.000000000000000
396;1-11-2017 0:00:00;Clupea harengus;3;33781.699999999997000;406510.000000000000000
397;1-11-2017 0:00:00;Clupea harengus;2;36161.699999999997000;423204.000000000000000
398;2-11-2017 0:00:00;Clupea harengus;3;45947.000000000000000;427229.000000000000000
399;6-11-2017 0:00:00;Clupea harengus;2;49346.099999999999000;428696.000000000000000
400;6-11-2017 0:00:00;Clupea harengus;7;52714.400000000001000;430481.000000000000000
401;25-10-2018 0:00:00;Clupea harengus;1;42156.400000000001000;431932.000000000000000
402;25-10-2018 0:00:00;Clupea harengus;1;43496.099999999999000;429156.000000000000000
403;29-10-2018 0:00:00;Clupea harengus;1;50430.199999999997000;436593.000000000000000
404;31-10-2018 0:00:00;Clupea harengus;2;6731.259975150000200;385583.000000000000000
405;31-10-2018 0:00:00;Clupea harengus;4;14591.700000000001000;396843.000000000000000
406;1-11-2018 0:00:00;Clupea harengus;1;33842.199999999997000;426709.000000000000000
407;1-11-2018 0:00:00;Clupea harengus;11;35237.900000000001000;420648.000000000000000
408;1-11-2018 0:00:00;Clupea harengus;8;53744.000000000000000;430274.000000000000000
