FID;date;species;n;X;Y
29;25-5-2005 0:00:00;Clupea harengus;14;52659.699999999997000;433431.000000000000000
30;25-5-2005 0:00:00;Clupea harengus;3;54589.199999999997000;435748.000000000000000
31;25-5-2005 0:00:00;Clupea harengus;5;54942.599999999999000;433348.000000000000000
32;25-5-2005 0:00:00;Clupea harengus;15;58819.800000000003000;430824.000000000000000
33;25-5-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
34;25-5-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
35;26-5-2005 0:00:00;Clupea harengus;2;16670.599999999999000;408102.000000000000000
36;26-5-2005 0:00:00;Clupea harengus;1;20445.400000000001000;407276.000000000000000
37;26-5-2005 0:00:00;Clupea harengus;6;56963.300000000003000;433382.000000000000000
38;26-5-2005 0:00:00;Clupea harengus;9;58125.400000000001000;438831.000000000000000
39;26-5-2005 0:00:00;Clupea harengus;1;58914.099999999999000;441709.000000000000000
40;26-5-2005 0:00:00;Clupea harengus;4;59266.900000000001000;440386.000000000000000
41;26-5-2005 0:00:00;Clupea harengus;11;59603.900000000001000;440026.000000000000000
42;26-5-2005 0:00:00;Clupea harengus;5;59750.199999999997000;441674.000000000000000
43;27-5-2005 0:00:00;Clupea harengus;1;53320.699999999997000;435996.000000000000000
44;27-5-2005 0:00:00;Clupea harengus;17;55212.400000000001000;429020.000000000000000
45;27-5-2005 0:00:00;Clupea harengus;1;56758.199999999997000;443365.000000000000000
46;27-5-2005 0:00:00;Clupea harengus;9;59238.900000000001000;439496.000000000000000
47;30-5-2005 0:00:00;Clupea harengus;10;59709.500000000000000;434739.000000000000000
48;31-5-2005 0:00:00;Clupea harengus;6;42308.099999999999000;424361.000000000000000
49;31-5-2005 0:00:00;Clupea harengus;5;45653.500000000000000;426420.000000000000000
50;3-6-2005 0:00:00;Clupea harengus;1;28060.299999999999000;407152.000000000000000
51;7-6-2005 0:00:00;Clupea harengus;1;65313.099999999999000;444502.000000000000000
52;13-6-2005 0:00:00;Clupea harengus;1;63963.800000000003000;430152.000000000000000
53;13-6-2005 0:00:00;Clupea harengus;1;64019.300000000003000;430021.000000000000000
54;29-8-2005 0:00:00;Clupea harengus;2;58147.000000000000000;438775.000000000000000
55;29-8-2005 0:00:00;Clupea harengus;6;59192.800000000003000;439497.000000000000000
